doget:78884820 JDBC:38776665
doget:32012659 JDBC:30689100
doget:43653576 JDBC:43104812
doget:39880610 JDBC:39603483
doget:55673846 JDBC:51885798
doget:55853462 JDBC:47520222
doget:37874976 JDBC:37230759
doget:43501779 JDBC:43182614
doget:34568267 JDBC:34132007
doget:26524130 JDBC:21808064
doget:94008781 JDBC:93502644
doget:75344043 JDBC:67322468
doget:130584909 JDBC:122567672
doget:58876970 JDBC:58700884
doget:33807367 JDBC:33430636
doget:40196108 JDBC:39973047
doget:62061592 JDBC:60567767
doget:100936732 JDBC:100633213
doget:53370233 JDBC:52662423
doget:91686896 JDBC:91541654
doget:51923002 JDBC:50892350
doget:48214976 JDBC:47901466
doget:26534001 JDBC:26291554
doget:53918208 JDBC:53644161
doget:63702339 JDBC:63292936
doget:72357202 JDBC:72135075
doget:109503180 JDBC:109248193
doget:141278315 JDBC:141121504
doget:47714323 JDBC:47462822
doget:22092031 JDBC:21818519
doget:27934479 JDBC:27599817
doget:64544369 JDBC:63977255
doget:68580892 JDBC:67893613
doget:100152990 JDBC:99323325
doget:80098137 JDBC:71161355
doget:58374904 JDBC:50350470
doget:85815041 JDBC:85604648
doget:85352674 JDBC:85179623
doget:82936220 JDBC:82636627
doget:67316107 JDBC:67116988
doget:81378627 JDBC:81185601
doget:71854287 JDBC:71661534
doget:48230213 JDBC:48073437
doget:29825277 JDBC:29574383
doget:76896926 JDBC:76672980
doget:116868217 JDBC:116672704
doget:185691007 JDBC:185472165
doget:140280763 JDBC:124958813
doget:105372010 JDBC:105156945
doget:60890095 JDBC:60647572
doget:51693498 JDBC:51502579
doget:117173327 JDBC:116977468
doget:84387525 JDBC:84221322
doget:172732183 JDBC:172553408
doget:130940638 JDBC:130410776
doget:39007454 JDBC:38773571
doget:55240954 JDBC:54388841
doget:90901800 JDBC:90623711
doget:117287476 JDBC:117109106
doget:99838303 JDBC:91054124
doget:64516276 JDBC:56514921
doget:22374134 JDBC:21695594
doget:116659504 JDBC:116440156
doget:81281573 JDBC:80967327
doget:141404760 JDBC:141177014
doget:193751525 JDBC:193600034
doget:105220306 JDBC:103995382
doget:23574541 JDBC:23291098
doget:57725034 JDBC:57519526
doget:69344731 JDBC:69077936
doget:131267520 JDBC:129169182
doget:123694162 JDBC:123481454
doget:131716449 JDBC:131516504
doget:106841951 JDBC:106633493
doget:52999357 JDBC:52541200
doget:89120322 JDBC:88869103
doget:43348871 JDBC:42741975
doget:67137936 JDBC:66962051
doget:43360071 JDBC:43172294
doget:44870305 JDBC:44674028
doget:29218624 JDBC:27903596
doget:43694023 JDBC:43499844
doget:37303099 JDBC:37068039
doget:36793842 JDBC:36431289
doget:44195829 JDBC:43805327
