doget:33269712 JDBC:32834043
doget:36520691 JDBC:36121092
doget:34310545 JDBC:33939000
doget:37657958 JDBC:35608362
doget:46511329 JDBC:46147182
doget:45903674 JDBC:45484658
doget:30255417 JDBC:29858207
doget:36168456 JDBC:35766911
doget:35622911 JDBC:34100872
doget:42479019 JDBC:42103700
doget:27737730 JDBC:27300101
doget:30352180 JDBC:29941871
doget:44013454 JDBC:41309822
doget:33234951 JDBC:32850232
doget:38197285 JDBC:37783795
doget:35923752 JDBC:35574906
doget:34505803 JDBC:34160070
doget:70840666 JDBC:65724210
doget:36350581 JDBC:35964912
doget:22039087 JDBC:21719410
doget:35748771 JDBC:35409917
doget:37844937 JDBC:37497021
doget:36266401 JDBC:35897529
doget:65156084 JDBC:64740524
doget:44821261 JDBC:44379741
doget:66466297 JDBC:63589449
doget:40116393 JDBC:39722386
doget:34507214 JDBC:34146503
doget:38191364 JDBC:37807204
doget:38274061 JDBC:37888569
doget:40911366 JDBC:40563808
doget:23775217 JDBC:23434125
doget:33644296 JDBC:33259467
doget:40871693 JDBC:40484515
doget:35132393 JDBC:34652558
doget:41129319 JDBC:40746175
doget:35137724 JDBC:34792001
doget:22485126 JDBC:21984270
doget:34573471 JDBC:34227746
doget:44146127 JDBC:43764625
doget:35311787 JDBC:34929701
doget:38612857 JDBC:38221149
doget:22709968 JDBC:22261191
doget:45061757 JDBC:44576249
doget:26628853 JDBC:26155174
doget:36058255 JDBC:35625478
doget:44510064 JDBC:44034050
doget:33473694 JDBC:33053882
doget:37701017 JDBC:37348272
doget:50514167 JDBC:50109038
doget:30193716 JDBC:29844749
doget:33057715 JDBC:32693106
doget:22646975 JDBC:22039909
doget:30006405 JDBC:29589508
doget:24248621 JDBC:23838713
doget:27073232 JDBC:26673766
doget:45458205 JDBC:45100432
doget:26938816 JDBC:26538395
doget:41306057 JDBC:40894239
doget:35740741 JDBC:35377993
doget:51668681 JDBC:51329771
doget:51032250 JDBC:48581786
doget:33177070 JDBC:32731670
doget:53073078 JDBC:52724761
doget:37909729 JDBC:37571015
doget:21526155 JDBC:21055127
doget:75856623 JDBC:75463472
doget:30997649 JDBC:30584787
doget:34736035 JDBC:34367081
doget:30091679 JDBC:29713738
doget:28944836 JDBC:28575248
doget:36318498 JDBC:35972415
doget:51774957 JDBC:51403944
doget:39264701 JDBC:38935378
