doget:59986544 JDBC:32603536
doget:36797579 JDBC:35875382
doget:34217656 JDBC:33986847
doget:35997411 JDBC:35750939
doget:46639014 JDBC:46428774
doget:44586423 JDBC:44265061
doget:29629138 JDBC:29302571
doget:39979799 JDBC:39672264
doget:50748539 JDBC:42883388
doget:61311380 JDBC:60977319
doget:33955616 JDBC:31874759
doget:29653236 JDBC:29383926
doget:91864616 JDBC:91605741
doget:89320256 JDBC:89158228
doget:141063780 JDBC:121013183
doget:122998566 JDBC:111882073
doget:100348298 JDBC:100205948
doget:69428597 JDBC:69263510
doget:37272227 JDBC:37100822
doget:21609819 JDBC:21431935
doget:94900707 JDBC:94693449
doget:107500951 JDBC:107313614
doget:106642871 JDBC:106041298
doget:88375673 JDBC:87867359
doget:71361287 JDBC:71042424
doget:35209800 JDBC:34812282
doget:69034435 JDBC:68845083
doget:73705049 JDBC:73506300
doget:92643651 JDBC:92302402
doget:86754622 JDBC:86506451
doget:66271229 JDBC:66108693
doget:23147703 JDBC:22890559
doget:74908615 JDBC:74520351
doget:125546856 JDBC:125260252
doget:110439954 JDBC:110199076
doget:85486106 JDBC:85315563
doget:100157101 JDBC:99865433
doget:22893552 JDBC:21497460
doget:72872295 JDBC:72597663
doget:110765028 JDBC:110379577
doget:140549128 JDBC:140186142
doget:107290081 JDBC:107130162
doget:47604730 JDBC:47257320
doget:43591762 JDBC:43263618
doget:25815696 JDBC:25241999
doget:109151248 JDBC:108774280
doget:151496448 JDBC:151216699
doget:146251296 JDBC:146026129
doget:230893148 JDBC:230736095
doget:149555192 JDBC:136213135
doget:66219262 JDBC:66052108
doget:57678611 JDBC:50401363
doget:88933480 JDBC:75067787
doget:43267871 JDBC:43041126
doget:23729062 JDBC:23416259
doget:35281199 JDBC:35095747
doget:62606369 JDBC:62355741
doget:91674362 JDBC:91534789
doget:59947511 JDBC:59714316
doget:56753538 JDBC:56593588
doget:66552354 JDBC:66376881
doget:89954914 JDBC:89695317
doget:107914471 JDBC:107717366
doget:130134975 JDBC:129920221
doget:142798783 JDBC:142570503
doget:196156384 JDBC:195942490
doget:95142922 JDBC:94928899
doget:99146110 JDBC:98910059
doget:246351528 JDBC:246174346
doget:99774006 JDBC:99569045
doget:83377345 JDBC:83143860
doget:108281003 JDBC:108077601
doget:111434695 JDBC:111206596
doget:80719577 JDBC:80523100
doget:78880557 JDBC:78650727
doget:82484727 JDBC:82349336
doget:55047322 JDBC:54864849
doget:19534203 JDBC:18915217
doget:41470656 JDBC:41240774
doget:109988292 JDBC:109661999
doget:108125256 JDBC:107933480
doget:167560199 JDBC:162936576
doget:141533624 JDBC:141331147
doget:91424776 JDBC:91140518
doget:134526138 JDBC:134280261
doget:147535457 JDBC:147307491
doget:186838976 JDBC:186547406
doget:158437648 JDBC:158216967
doget:149131761 JDBC:148904554
doget:51778935 JDBC:51576105
doget:48496246 JDBC:48277824
doget:78589225 JDBC:78326535
doget:144984887 JDBC:144756970
doget:154983771 JDBC:154679670
doget:160393344 JDBC:160061030
doget:100936223 JDBC:100732515
doget:29821084 JDBC:29600210
doget:43983975 JDBC:42593171
doget:92521289 JDBC:92250687
doget:93758072 JDBC:93510075
doget:110816317 JDBC:110592667
doget:66070877 JDBC:65830557
doget:20449187 JDBC:18206134
doget:53192322 JDBC:52984640
doget:105687221 JDBC:105445026
doget:108883297 JDBC:108691406
doget:115336476 JDBC:115190429
doget:69323256 JDBC:69050431
doget:62514693 JDBC:62318464
doget:54344646 JDBC:54150070
doget:62121417 JDBC:61887634
doget:48491602 JDBC:48222491
doget:77234705 JDBC:77016839
doget:94982673 JDBC:94815309
doget:49615754 JDBC:49028787
doget:108025110 JDBC:107735598
doget:67063814 JDBC:66902296
doget:50210740 JDBC:50018588
doget:31766073 JDBC:31547297
doget:79866318 JDBC:79609164
doget:92458498 JDBC:92244215
doget:55979997 JDBC:55650659
doget:163212646 JDBC:163073773
doget:58014968 JDBC:45091119
doget:48855346 JDBC:48596998
doget:48830235 JDBC:48623758
doget:65713892 JDBC:65516379
doget:73565424 JDBC:73363879
doget:57488780 JDBC:57104290
doget:75474421 JDBC:75256860
doget:67075456 JDBC:66844947
doget:32427102 JDBC:32142755
doget:38482006 JDBC:38203576
doget:100414689 JDBC:100147653
doget:159355514 JDBC:159136022
doget:106964650 JDBC:106728091
doget:87737177 JDBC:87513887
doget:57763639 JDBC:57442806
doget:84706389 JDBC:80679325
doget:80055587 JDBC:79431623
doget:77772588 JDBC:77512205
doget:104748907 JDBC:104528631
doget:49395943 JDBC:49139138
doget:48202019 JDBC:47960557
doget:44973821 JDBC:44744010
doget:58689867 JDBC:58440427
doget:132980636 JDBC:132778118
doget:130961407 JDBC:130690013
doget:72333231 JDBC:72017226
doget:118847020 JDBC:118574447
doget:43636259 JDBC:43418277
doget:30773670 JDBC:29160750
doget:120080425 JDBC:119897336
doget:120695014 JDBC:120467592
doget:139614404 JDBC:139443373
doget:72527437 JDBC:66640389
doget:37009360 JDBC:36836675
doget:33207405 JDBC:32867401
doget:90985611 JDBC:90732356
doget:111625919 JDBC:111431872
doget:55836715 JDBC:55607292
doget:106983207 JDBC:106737594
doget:53267775 JDBC:53047624
doget:34194538 JDBC:33987840
doget:83763809 JDBC:83577021
doget:100175016 JDBC:99982301
doget:106373761 JDBC:106208397
doget:53905951 JDBC:53720899
doget:47315655 JDBC:47110026
doget:117981662 JDBC:117723509
doget:99939821 JDBC:99729733
doget:145186218 JDBC:145003545
doget:148447883 JDBC:148296429
doget:37188887 JDBC:36985964
