doget:63797195 JDBC:37917075
doget:30958782 JDBC:30103749
doget:44160780 JDBC:43941798
doget:39801420 JDBC:39553878
doget:40175148 JDBC:36366881
doget:33636733 JDBC:33302364
doget:42370977 JDBC:42206019
doget:34780425 JDBC:34516820
doget:30599580 JDBC:30282173
doget:29147137 JDBC:24927376
doget:48010471 JDBC:35554700
doget:58275701 JDBC:57702952
doget:36696292 JDBC:36378859
doget:76911277 JDBC:76593731
doget:78008528 JDBC:77757624
doget:54324370 JDBC:36765217
doget:39652378 JDBC:39124524
doget:52899573 JDBC:52622817
doget:39188740 JDBC:38932613
doget:58246246 JDBC:57988592
doget:60440427 JDBC:60244497
doget:81294329 JDBC:80934204
doget:52222260 JDBC:52053662
doget:59197586 JDBC:58918963
doget:50716733 JDBC:50475279
doget:144653480 JDBC:144293404
doget:120510670 JDBC:120341753
doget:95022921 JDBC:86449510
doget:202358537 JDBC:202151299
doget:179198488 JDBC:167411681
doget:51000135 JDBC:50240192
doget:55083021 JDBC:54665908
doget:74144350 JDBC:73499279
doget:79972552 JDBC:79555019
doget:57748826 JDBC:56958656
doget:123806647 JDBC:123524798
doget:70265953 JDBC:70028504
doget:74317943 JDBC:74130735
doget:68343607 JDBC:68062331
doget:112762111 JDBC:112548118
doget:99858681 JDBC:99668020
doget:82361539 JDBC:82190649
doget:52552185 JDBC:52362826
doget:30255549 JDBC:29999085
doget:101124629 JDBC:100884889
doget:99248716 JDBC:99063551
doget:110817638 JDBC:110675180
doget:104674457 JDBC:104519380
doget:73973849 JDBC:65659886
doget:143771409 JDBC:143475208
doget:146105225 JDBC:145934051
doget:123140815 JDBC:122995751
doget:91188666 JDBC:90915450
doget:205689597 JDBC:205508062
doget:65308628 JDBC:65127325
doget:54634783 JDBC:54361296
doget:89417517 JDBC:89140770
doget:83644592 JDBC:83445387
doget:89433087 JDBC:89271260
doget:69748735 JDBC:69536581
doget:41506419 JDBC:36246878
doget:23091905 JDBC:21882318
doget:46838715 JDBC:46645836
doget:59545495 JDBC:59222898
doget:92786488 JDBC:92560760
doget:100128503 JDBC:92752319
doget:44986573 JDBC:44723459
doget:73224152 JDBC:73066433
doget:50565756 JDBC:50352050
doget:44027598 JDBC:43753054
doget:46536917 JDBC:46339602
doget:60068057 JDBC:59780532
doget:66173485 JDBC:65870421
doget:86521627 JDBC:86302496
doget:43601613 JDBC:43013540
doget:86867745 JDBC:86612825
doget:33866134 JDBC:33692101
doget:44052639 JDBC:43795241
doget:33562328 JDBC:33322733
doget:49540129 JDBC:47044389
doget:76058983 JDBC:75779295
doget:89109265 JDBC:88865745
doget:68669836 JDBC:68417627
doget:51255775 JDBC:51054845
doget:57457585 JDBC:57059535
doget:113427664 JDBC:113159799
doget:164844290 JDBC:164633297
doget:197758529 JDBC:197560266
doget:119391421 JDBC:119235640
doget:37793006 JDBC:37439630
doget:41160460 JDBC:40851504
doget:160956443 JDBC:160538779
doget:189183485 JDBC:188983454
doget:127164376 JDBC:126906824
doget:197826552 JDBC:188961054
doget:142110976 JDBC:141911031
doget:74509766 JDBC:74087802
doget:148917755 JDBC:148671535
doget:160611589 JDBC:160428431
doget:131549175 JDBC:131367455
doget:128292306 JDBC:128095178
doget:68483465 JDBC:68299531
doget:65499062 JDBC:65171034
doget:70041565 JDBC:69831152
doget:74183727 JDBC:73973318
doget:95462730 JDBC:95239338
doget:75542405 JDBC:75308198
doget:47500474 JDBC:47319294
doget:28304833 JDBC:28055547
doget:58494897 JDBC:58257359
doget:38914147 JDBC:38693794
doget:72474829 JDBC:72247939
doget:61620241 JDBC:61283881
doget:107083390 JDBC:106889272
doget:78714291 JDBC:78451239
doget:97610952 JDBC:97403012
doget:59435491 JDBC:59160575
doget:72168061 JDBC:71863056
doget:96162888 JDBC:95900255
doget:81162515 JDBC:80930240
doget:57171299 JDBC:56916048
doget:60473353 JDBC:60218577
doget:50890604 JDBC:50659925
doget:47272289 JDBC:46976194
doget:47927667 JDBC:47751441
doget:51660906 JDBC:51463861
doget:37117155 JDBC:36756441
doget:50871738 JDBC:50604445
doget:35006510 JDBC:34752485
doget:45983248 JDBC:45806791
doget:32839726 JDBC:32585483
doget:23935026 JDBC:23637159
doget:49539312 JDBC:49300717
doget:54647772 JDBC:53366860
doget:57803298 JDBC:57525669
doget:48252847 JDBC:43170466
doget:60783432 JDBC:60593837
doget:46676097 JDBC:46414515
doget:44113785 JDBC:43823392
doget:121352935 JDBC:121081717
doget:128488431 JDBC:128246949
doget:103494153 JDBC:103236092
doget:155987691 JDBC:155705823
doget:84495156 JDBC:84282145
doget:144985985 JDBC:144631170
doget:204161684 JDBC:203899956
doget:176474231 JDBC:176191141
doget:135777959 JDBC:135528293
doget:132739650 JDBC:132529794
doget:52060258 JDBC:47708681
doget:78741687 JDBC:78361290
doget:64471152 JDBC:63707895
doget:160646701 JDBC:160360194
doget:138964317 JDBC:138743984
doget:196483768 JDBC:196200932
doget:69322775 JDBC:69043814
doget:37988153 JDBC:37717784
doget:111698421 JDBC:111383665
doget:88567965 JDBC:88329306
doget:136246297 JDBC:136049732
doget:84564947 JDBC:84291421
doget:46660566 JDBC:46408011
doget:100634008 JDBC:100287052
doget:150162938 JDBC:149920051
doget:128027213 JDBC:127680993
doget:107291940 JDBC:107051457
doget:146975412 JDBC:146674769
doget:46489631 JDBC:46246143
