doget:74713644 JDBC:32897278
doget:72255916 JDBC:68071270
doget:34479527 JDBC:33975975
doget:44432439 JDBC:44072742
doget:59115733 JDBC:49360349
doget:46051081 JDBC:45202263
doget:29994223 JDBC:29564407
doget:49640962 JDBC:49209894
doget:51126652 JDBC:50353439
doget:76543393 JDBC:75665464
doget:46556061 JDBC:45878165
doget:29930281 JDBC:29451370
doget:59571769 JDBC:59237055
doget:70647642 JDBC:66431061
doget:99102647 JDBC:98621742
doget:88493702 JDBC:86902575
doget:89164772 JDBC:80045033
doget:82318258 JDBC:81901861
doget:59829331 JDBC:59174626
doget:40672711 JDBC:40361694
doget:52276288 JDBC:51614434
doget:79271281 JDBC:79047635
doget:113797893 JDBC:109387294
doget:100283567 JDBC:99942857
doget:92681178 JDBC:85156247
doget:132050569 JDBC:124312268
doget:66271813 JDBC:65997413
doget:34698870 JDBC:34400812
doget:37383916 JDBC:36959613
doget:43223032 JDBC:42827115
doget:59806926 JDBC:59481117
doget:22927328 JDBC:22683151
doget:57128812 JDBC:56736246
doget:71589932 JDBC:71330092
doget:46063515 JDBC:45683979
doget:89582962 JDBC:89231908
doget:87962839 JDBC:84049208
doget:58782673 JDBC:50281423
doget:87559859 JDBC:77924768
doget:80492686 JDBC:72301604
doget:55216650 JDBC:53885956
doget:42594062 JDBC:42308812
doget:24462092 JDBC:21381430
doget:51713789 JDBC:51326793
doget:40379203 JDBC:39431735
doget:65771598 JDBC:65484701
doget:80376992 JDBC:78813143
doget:107880785 JDBC:103657176
doget:66883942 JDBC:66551772
doget:49643668 JDBC:49254985
doget:52420448 JDBC:52143186
doget:55323939 JDBC:54194916
doget:33604851 JDBC:32925907
doget:101550594 JDBC:92319603
doget:109415041 JDBC:100055828
doget:76528684 JDBC:69113663
doget:56818899 JDBC:56562961
doget:34305088 JDBC:33930670
doget:40832538 JDBC:40493289
doget:125159131 JDBC:121993574
doget:100989683 JDBC:100623142
doget:199957701 JDBC:190761252
doget:166968146 JDBC:166695804
doget:101283804 JDBC:101002489
doget:42477086 JDBC:42203174
doget:32927243 JDBC:29655905
doget:96786800 JDBC:88593184
doget:89718857 JDBC:89418515
doget:182740290 JDBC:177264674
doget:55324507 JDBC:55047190
doget:34785987 JDBC:34445697
doget:37697033 JDBC:37486876
doget:52703885 JDBC:52268752
doget:39690784 JDBC:39397741
doget:67603591 JDBC:67256240
doget:94571998 JDBC:94375517
doget:90624285 JDBC:90289085
doget:112018739 JDBC:111643183
doget:93326516 JDBC:92982540
doget:76573363 JDBC:76269861
doget:90927745 JDBC:90602793
doget:89145041 JDBC:88910555
doget:113144785 JDBC:112932300
