doget:86444850 JDBC:38364777
doget:31430009 JDBC:30440407
doget:44218254 JDBC:43894457
doget:40863289 JDBC:39550262
doget:40889169 JDBC:36561025
doget:33711765 JDBC:33226447
doget:53133855 JDBC:52687759
doget:45001247 JDBC:35375418
doget:32389897 JDBC:30175624
doget:24139242 JDBC:22229430
doget:44489387 JDBC:43924212
doget:53293515 JDBC:53027215
doget:35592228 JDBC:35129653
doget:67034334 JDBC:66733275
doget:59203271 JDBC:58897346
doget:31421711 JDBC:31166033
doget:49055268 JDBC:46294116
doget:36243049 JDBC:35990657
doget:36263673 JDBC:33193284
doget:22811797 JDBC:22268704
doget:39424240 JDBC:38059544
doget:39776604 JDBC:39540377
doget:57995010 JDBC:57708682
doget:87171099 JDBC:82074580
doget:102585672 JDBC:76036159
doget:153544527 JDBC:153242438
doget:118457714 JDBC:116233924
doget:83720783 JDBC:78309961
doget:109999259 JDBC:97908600
doget:102993891 JDBC:102729693
doget:71580488 JDBC:71141413
doget:59098530 JDBC:58157043
doget:41081103 JDBC:40759371
doget:51453321 JDBC:50990643
doget:64719002 JDBC:64420383
doget:41525434 JDBC:37947302
doget:112883522 JDBC:112622424
doget:106560463 JDBC:102539260
doget:65287316 JDBC:64902384
doget:87911925 JDBC:87556597
doget:57988174 JDBC:55319650
doget:68090701 JDBC:67812196
doget:55154518 JDBC:54902335
doget:92261590 JDBC:91920494
doget:101896516 JDBC:100872458
doget:114063791 JDBC:113744631
doget:228140512 JDBC:224865832
doget:137750909 JDBC:137436462
doget:104048942 JDBC:103692895
doget:117682928 JDBC:117330488
doget:136393276 JDBC:128413940
doget:126532592 JDBC:117119930
doget:159384988 JDBC:159165011
doget:223939702 JDBC:223728643
doget:104295222 JDBC:104039030
doget:120912229 JDBC:111571361
doget:93564721 JDBC:93266729
doget:93972432 JDBC:85893141
doget:97845474 JDBC:96963252
doget:142912022 JDBC:142678740
doget:136236781 JDBC:135942333
doget:77242034 JDBC:76270205
doget:101966143 JDBC:101695212
doget:298665592 JDBC:292062238
doget:263533710 JDBC:248054898
doget:418384148 JDBC:410305508
doget:522589525 JDBC:522279075
doget:465940575 JDBC:460016074
doget:362618161 JDBC:295706168
doget:243043200 JDBC:235127664
doget:218179502 JDBC:210129048
doget:193377661 JDBC:181853983
doget:116154726 JDBC:103393397
doget:103830429 JDBC:103159333
doget:121633316 JDBC:121322767
doget:85345804 JDBC:84754822
doget:49886474 JDBC:49234912
doget:80574630 JDBC:80296397
doget:35455498 JDBC:33989411
doget:30402839 JDBC:30090390
doget:21133599 JDBC:18653566
doget:35203747 JDBC:34925818
doget:64791328 JDBC:64376270
doget:69961676 JDBC:69755251
doget:94152994 JDBC:93890824
doget:126911571 JDBC:126609208
doget:156530203 JDBC:156295183
doget:95165420 JDBC:94802957
doget:118104854 JDBC:117767686
doget:84779444 JDBC:76735816
doget:138739326 JDBC:134077865
doget:151156852 JDBC:149141495
doget:144590029 JDBC:144298779
doget:85414502 JDBC:85054671
doget:142187259 JDBC:141954991
doget:59396254 JDBC:59114093
doget:53081589 JDBC:51519541
doget:96219253 JDBC:95211682
doget:61635482 JDBC:61169253
doget:75414819 JDBC:75157024
doget:68027911 JDBC:63501022
doget:53852358 JDBC:53550816
doget:19509699 JDBC:18774715
doget:51795894 JDBC:51382189
doget:83407549 JDBC:83102564
doget:76919810 JDBC:76644709
doget:55244642 JDBC:54914842
doget:30455386 JDBC:30162868
doget:29119979 JDBC:28789514
doget:84569000 JDBC:84283896
doget:71890494 JDBC:71656556
doget:71681992 JDBC:71392827
doget:103892443 JDBC:103609362
doget:41034468 JDBC:40768170
doget:33838807 JDBC:33502152
doget:122904398 JDBC:122609740
doget:85052712 JDBC:84749731
doget:131693163 JDBC:131484370
doget:194722476 JDBC:194426337
doget:89963312 JDBC:89594568
doget:128863463 JDBC:128554059
doget:110394978 JDBC:110143363
doget:129675680 JDBC:129405354
doget:85728157 JDBC:85493217
doget:102953160 JDBC:102667713
doget:131768284 JDBC:131371922
doget:194273582 JDBC:194028894
doget:176211924 JDBC:166046448
doget:174833316 JDBC:168084611
doget:209152359 JDBC:208934314
doget:93384657 JDBC:88771175
doget:88280458 JDBC:87931333
doget:174047716 JDBC:173801428
doget:97793968 JDBC:97498061
doget:89729839 JDBC:89429572
doget:196290113 JDBC:196099176
doget:65319261 JDBC:65121196
doget:105002759 JDBC:104713710
doget:141516089 JDBC:141292447
doget:90517891 JDBC:90299798
doget:148359347 JDBC:148161178
doget:79081470 JDBC:78857710
doget:34165362 JDBC:34011473
doget:29038682 JDBC:28893610
doget:195737448 JDBC:195529970
doget:171316612 JDBC:170994634
doget:177374693 JDBC:176970398
doget:125825891 JDBC:125609660
doget:119164619 JDBC:118985257
doget:25750184 JDBC:25397903
doget:94768073 JDBC:90243539
doget:67064015 JDBC:66423916
doget:159641681 JDBC:159401438
doget:137867917 JDBC:137683567
doget:190514118 JDBC:190305915
doget:51127615 JDBC:50795534
doget:119210921 JDBC:111276130
doget:112872485 JDBC:112672960
doget:170288905 JDBC:169992501
doget:178514787 JDBC:178230353
doget:134582386 JDBC:134364092
doget:68704763 JDBC:68368791
doget:102602168 JDBC:102328916
doget:108668746 JDBC:108399401
doget:132007527 JDBC:131701916
doget:91996147 JDBC:91809974
doget:34300538 JDBC:34016801
doget:101180450 JDBC:100940566
doget:144717747 JDBC:144462516
doget:130214051 JDBC:130016355
doget:113235138 JDBC:113046715
doget:167046684 JDBC:166859186
