doget:33208359 JDBC:32646346
doget:37566925 JDBC:37103483
doget:36159821 JDBC:35617431
doget:30056214 JDBC:29597516
doget:34138125 JDBC:33642684
doget:43163952 JDBC:42931672
doget:35643799 JDBC:35385245
doget:39090939 JDBC:38848516
doget:45960309 JDBC:45713399
doget:35408412 JDBC:35121367
doget:44942120 JDBC:44641396
doget:32794602 JDBC:32511655
doget:29731622 JDBC:29448051
doget:41975795 JDBC:41722228
doget:35922617 JDBC:35648060
doget:33878804 JDBC:33640751
doget:34108402 JDBC:33871176
doget:29972036 JDBC:29683630
doget:41812119 JDBC:41519603
doget:22083146 JDBC:21697874
doget:27137149 JDBC:26816088
doget:34339044 JDBC:34064289
doget:29803340 JDBC:29531425
doget:41937477 JDBC:41681304
doget:40241917 JDBC:39999855
doget:22315678 JDBC:21983716
doget:32959333 JDBC:32679983
doget:38923438 JDBC:38678205
doget:37331700 JDBC:37029117
doget:32876982 JDBC:32596170
doget:35710911 JDBC:35408641
doget:23752631 JDBC:23516546
doget:33992819 JDBC:33742447
doget:38502574 JDBC:38264614
doget:33717411 JDBC:33472806
doget:47939497 JDBC:47610165
doget:35649718 JDBC:35406176
doget:32743294 JDBC:32444937
doget:21637971 JDBC:21405695
doget:21841740 JDBC:21573910
doget:35583064 JDBC:35294067
doget:33773379 JDBC:33529658
doget:37114051 JDBC:36867146
doget:41615151 JDBC:41313717
doget:35577923 JDBC:35303517
doget:26067591 JDBC:25804564
doget:32234917 JDBC:31988393
doget:32541380 JDBC:32218026
doget:43711542 JDBC:43373324
doget:32661023 JDBC:32321466
doget:33092542 JDBC:32739526
doget:63868668 JDBC:63539431
doget:38245359 JDBC:37955604
doget:41780589 JDBC:41468115
doget:33864669 JDBC:33573591
doget:27946376 JDBC:27672374
doget:37819809 JDBC:37493431
doget:46640627 JDBC:46336170
doget:37597216 JDBC:37235882
doget:22004932 JDBC:21672297
doget:40423481 JDBC:40109591
doget:28481872 JDBC:28142370
doget:23270214 JDBC:22998151
doget:27468964 JDBC:27103484
doget:33284427 JDBC:32946216
doget:27006719 JDBC:26685618
doget:40321806 JDBC:39999252
doget:43745548 JDBC:43407785
doget:34432769 JDBC:34120608
doget:27149090 JDBC:26817835
doget:40316751 JDBC:39966666
doget:22373760 JDBC:21899750
doget:34558256 JDBC:34281689
doget:47935555 JDBC:47645880
doget:21866509 JDBC:21467428
doget:40348265 JDBC:40070836
doget:34170930 JDBC:33858129
doget:41274012 JDBC:40803607
doget:43848831 JDBC:43505738
doget:26645996 JDBC:26315535
doget:34418225 JDBC:33999018
doget:37457699 JDBC:37108215
doget:37835424 JDBC:37593372
doget:40334867 JDBC:40060520
doget:21896305 JDBC:21463974
doget:43789876 JDBC:43518469
doget:43889257 JDBC:43616897
doget:29757767 JDBC:29448397
doget:25946817 JDBC:25607510
doget:69310587 JDBC:69047877
doget:35775500 JDBC:35467107
doget:29681457 JDBC:29392477
doget:44331168 JDBC:44051351
doget:34180117 JDBC:33908327
doget:33400598 JDBC:33109634
doget:39200279 JDBC:38887958
doget:37296925 JDBC:37047443
doget:34247870 JDBC:33964227
doget:49443779 JDBC:49144012
doget:49597068 JDBC:49315423
doget:29874666 JDBC:29539051
doget:43445529 JDBC:43168561
doget:33308055 JDBC:33068102
doget:61696611 JDBC:61441039
doget:22519150 JDBC:22076693
doget:34322104 JDBC:34090443
doget:29337941 JDBC:29071561
doget:43170130 JDBC:42914806
doget:23231113 JDBC:22949434
doget:25851319 JDBC:25631707
doget:26406007 JDBC:26156890
doget:38457766 JDBC:38191988
doget:44370646 JDBC:44130935
doget:41708596 JDBC:41427317
doget:26524040 JDBC:26251251
doget:33812442 JDBC:33521338
doget:40589390 JDBC:40283422
doget:40098683 JDBC:39858639
doget:35656295 JDBC:35418733
doget:35587976 JDBC:35319928
doget:51658587 JDBC:51378300
doget:28543404 JDBC:28159349
doget:48401715 JDBC:48098135
doget:21670965 JDBC:21176576
doget:33234157 JDBC:32941146
doget:46339249 JDBC:46090456
doget:52738365 JDBC:52469793
doget:64634760 JDBC:64375473
doget:37666631 JDBC:37371580
doget:35601341 JDBC:35327119
doget:20896538 JDBC:20562859
