doget:150853085 JDBC:94587616
doget:168433688 JDBC:86025861
doget:56507466 JDBC:48216954
doget:31098875 JDBC:30271328
doget:155629939 JDBC:150579105
doget:169613450 JDBC:169416939
doget:195165703 JDBC:194390954
doget:180649451 JDBC:178749688
doget:135479561 JDBC:127426314
doget:178145463 JDBC:175837536
doget:83674651 JDBC:82631001
doget:37679259 JDBC:36687828
doget:175131811 JDBC:174795936
doget:240289999 JDBC:239828592
doget:173378145 JDBC:164033544
doget:273703631 JDBC:273323320
doget:293480497 JDBC:293192259
doget:240920755 JDBC:239819207
doget:212565528 JDBC:193519719
doget:261086880 JDBC:259870058
doget:273699882 JDBC:263553920
doget:202279414 JDBC:180864043
doget:72912816 JDBC:70390900
doget:137325968 JDBC:136908645
doget:300428532 JDBC:299628984
doget:303286401 JDBC:302642508
doget:200388401 JDBC:200222263
doget:291480601 JDBC:291292871
doget:273437370 JDBC:272427121
doget:294822301 JDBC:294566887
doget:312192027 JDBC:311997831
doget:225080029 JDBC:224918602
doget:274010209 JDBC:272416413
doget:107938985 JDBC:107714819
doget:179647377 JDBC:179421979
doget:179039211 JDBC:177613091
doget:281050922 JDBC:280706690
doget:297986768 JDBC:297042206
doget:279366171 JDBC:279211098
doget:325643082 JDBC:325424417
doget:291055431 JDBC:290785072
doget:293608158 JDBC:293433319
doget:283257472 JDBC:282972349
doget:348133509 JDBC:345252240
doget:190301584 JDBC:190044020
doget:218084771 JDBC:217896957
doget:250895194 JDBC:250720975
doget:257225856 JDBC:256942985
doget:264825071 JDBC:264305350
doget:270012689 JDBC:269646949
doget:279466292 JDBC:277131421
doget:291826024 JDBC:291616321
doget:302401088 JDBC:301918880
doget:321091806 JDBC:320761144
doget:168192508 JDBC:167825235
doget:240969346 JDBC:240786332
doget:178646580 JDBC:178379360
doget:214885185 JDBC:214354610
doget:294908346 JDBC:294690824
doget:301280817 JDBC:301060821
doget:210667226 JDBC:210349023
doget:318429702 JDBC:318249691
doget:280773797 JDBC:280544279
doget:265648719 JDBC:265479339
doget:209441023 JDBC:206369457
doget:247780024 JDBC:247468528
doget:254315522 JDBC:254010573
doget:307988320 JDBC:307631610
doget:319079438 JDBC:318673882
doget:288067644 JDBC:287913217
doget:335958067 JDBC:335728505
doget:359446209 JDBC:342045708
doget:356870937 JDBC:356584369
doget:328360413 JDBC:328210921
doget:56630780 JDBC:56107373
doget:213526325 JDBC:213246024
doget:242668224 JDBC:242306494
doget:218465534 JDBC:218138098
doget:306035271 JDBC:305664956
