doget:34030012 JDBC:32467393
doget:36981887 JDBC:36542213
doget:58849157 JDBC:50106938
doget:72715715 JDBC:72378735
doget:36632458 JDBC:33700216
doget:43491990 JDBC:43061988
doget:133059186 JDBC:132559257
doget:192773551 JDBC:179753041
doget:212896996 JDBC:208909823
doget:193025781 JDBC:179243537
doget:151565310 JDBC:137185207
doget:203235758 JDBC:185901238
doget:91784990 JDBC:90876656
doget:93498256 JDBC:92368624
doget:118215033 JDBC:117785180
doget:164714148 JDBC:163953190
doget:131163670 JDBC:129625809
doget:220259982 JDBC:219258111
doget:229428576 JDBC:228544087
doget:211811978 JDBC:204373011
doget:273074699 JDBC:272767753
doget:249541432 JDBC:237349879
doget:213303077 JDBC:190191730
doget:101291802 JDBC:100283453
doget:272171915 JDBC:268990491
doget:258415598 JDBC:240694375
doget:188947667 JDBC:186204387
doget:131465542 JDBC:131202735
doget:235572737 JDBC:235296875
doget:262676203 JDBC:261853414
doget:227869087 JDBC:225920530
doget:237684608 JDBC:237502728
doget:242195572 JDBC:241953485
doget:243254112 JDBC:242703784
doget:284961683 JDBC:284753277
doget:113433729 JDBC:113240823
doget:227844746 JDBC:227622176
doget:123862104 JDBC:123521620
doget:207676599 JDBC:204887818
doget:348493695 JDBC:315089351
doget:190866800 JDBC:187933538
doget:192695670 JDBC:192548192
doget:225845982 JDBC:212850924
doget:224007943 JDBC:223806167
doget:201629131 JDBC:200792050
doget:275700293 JDBC:274130173
doget:226280508 JDBC:226108469
doget:217898243 JDBC:217653983
doget:207000459 JDBC:206633931
doget:180732591 JDBC:180409840
doget:271709669 JDBC:271394575
doget:211867352 JDBC:211586662
doget:202767602 JDBC:202513659
doget:235314125 JDBC:235065567
doget:481883807 JDBC:466865045
doget:318701166 JDBC:307983485
doget:202512157 JDBC:188232038
doget:288651744 JDBC:288381061
doget:265147006 JDBC:264868440
doget:320104929 JDBC:319935927
doget:140063572 JDBC:131695674
doget:240622864 JDBC:240416961
doget:52423704 JDBC:52201780
doget:69736235 JDBC:67540507
doget:59854515 JDBC:59574751
doget:123477751 JDBC:123144675
doget:154476442 JDBC:153863585
doget:211297922 JDBC:210946958
doget:273024455 JDBC:268986254
doget:165611062 JDBC:165032870
doget:315381414 JDBC:303793140
doget:257924884 JDBC:255375644
doget:329551715 JDBC:328559372
doget:303603013 JDBC:303378148
doget:267715159 JDBC:266785623
doget:191285776 JDBC:172680826
doget:95513413 JDBC:94647843
doget:197051155 JDBC:196644682
doget:176761068 JDBC:173426611
doget:281174888 JDBC:280909881
doget:262539391 JDBC:262233236
doget:315538258 JDBC:315159519
doget:280867314 JDBC:280660702
doget:284302593 JDBC:284032643
doget:267253636 JDBC:267048946
doget:232367603 JDBC:232069322
doget:210308266 JDBC:210029886
doget:102967137 JDBC:102621829
doget:138893853 JDBC:138489065
doget:230405925 JDBC:230154030
doget:210172677 JDBC:209902897
doget:254878122 JDBC:254693963
doget:243096245 JDBC:242782808
doget:264744783 JDBC:264550191
doget:351950924 JDBC:342147099
doget:230349513 JDBC:230037372
doget:292153829 JDBC:286831616
doget:461926672 JDBC:461685162
doget:153042085 JDBC:152669113
doget:325854099 JDBC:325556063
doget:325831752 JDBC:325329742
doget:248365250 JDBC:237404136
doget:178049913 JDBC:177602754
doget:307625614 JDBC:302921912
doget:216528827 JDBC:216227037
doget:237033075 JDBC:236806442
doget:147614897 JDBC:147352268
doget:257176097 JDBC:256939247
doget:120294384 JDBC:120079887
doget:425297324 JDBC:425056896
doget:175108706 JDBC:174816913
doget:260520720 JDBC:260238884
doget:225637737 JDBC:225188556
doget:336283791 JDBC:335650145
doget:326587140 JDBC:326318278
doget:286791549 JDBC:286464916
doget:300227746 JDBC:289947382
doget:252273175 JDBC:252046343
doget:273489894 JDBC:270101615
doget:189343031 JDBC:189033995
doget:107302344 JDBC:99049312
doget:285052222 JDBC:284771936
doget:162638133 JDBC:161938728
doget:277287508 JDBC:270585679
doget:344462515 JDBC:344137696
doget:145259990 JDBC:144922979
doget:276162516 JDBC:275910142
doget:250957193 JDBC:250645703
doget:355670594 JDBC:319736397
doget:365888026 JDBC:365562479
doget:401977904 JDBC:401620744
doget:220414072 JDBC:220097274
doget:191282690 JDBC:187875439
doget:217091035 JDBC:216741973
doget:236164692 JDBC:235859185
doget:289789040 JDBC:289585088
doget:290364315 JDBC:290210972
doget:247528040 JDBC:247246681
doget:333513028 JDBC:333269656
doget:208626645 JDBC:208354065
doget:447217819 JDBC:446546761
doget:239282886 JDBC:238975999
doget:92453826 JDBC:92191905
doget:83693107 JDBC:83448319
doget:194144188 JDBC:193474278
doget:302822326 JDBC:302586633
doget:278661166 JDBC:278310114
doget:328254279 JDBC:327812009
doget:363908986 JDBC:355820438
doget:313716954 JDBC:313510428
doget:346785401 JDBC:346460987
doget:250246677 JDBC:250059772
doget:379363786 JDBC:379095516
doget:276475887 JDBC:276261535
doget:39840214 JDBC:39226724
doget:169082615 JDBC:168710297
doget:128041167 JDBC:124687351
doget:220486650 JDBC:219936057
doget:245559080 JDBC:234160168
doget:248348121 JDBC:247991870
doget:209692424 JDBC:209361349
doget:282651320 JDBC:282419639
doget:327424482 JDBC:327061581
doget:193325981 JDBC:193104245
doget:172652362 JDBC:172301059
doget:266889743 JDBC:266625464
doget:147530342 JDBC:147117751
doget:246054114 JDBC:245797247
doget:263894586 JDBC:263636263
doget:276622530 JDBC:276289375
doget:356846233 JDBC:356583455
doget:295134576 JDBC:294811236
doget:393191888 JDBC:392922101
doget:216648397 JDBC:216384083
doget:476032688 JDBC:475850908
doget:495668273 JDBC:495449719
doget:154929109 JDBC:154644091
doget:206371809 JDBC:206160318
doget:235521287 JDBC:235301336
doget:143455616 JDBC:143175799
doget:287458375 JDBC:287139474
doget:310057366 JDBC:309794311
doget:307429751 JDBC:307113824
doget:303823397 JDBC:303560330
doget:338204593 JDBC:337826651
doget:227452968 JDBC:227194572
doget:356924269 JDBC:356689404
doget:265587901 JDBC:265298179
doget:291268217 JDBC:291026371
doget:306276833 JDBC:304808933
doget:116952140 JDBC:116576725
doget:138635661 JDBC:138332873
doget:148235967 JDBC:142440182
doget:166190146 JDBC:166022842
doget:63177008 JDBC:62968093
doget:67675767 JDBC:62424907
doget:157477970 JDBC:157260697
doget:155179944 JDBC:154968500
doget:170299916 JDBC:170085496
doget:141624351 JDBC:141446885
doget:33920746 JDBC:28039860
doget:62862826 JDBC:62597991
doget:48050184 JDBC:41334924
doget:140946198 JDBC:140322970
doget:183415605 JDBC:183103362
doget:185611158 JDBC:175320263
doget:142964474 JDBC:142704736
doget:152835967 JDBC:152527200
doget:91486864 JDBC:85592036
doget:149087038 JDBC:148711559
doget:157542484 JDBC:157227648
doget:191845360 JDBC:191443544
doget:248568419 JDBC:248250885
doget:224767558 JDBC:224484062
doget:274848807 JDBC:274657199
doget:271508581 JDBC:271295736
doget:294474160 JDBC:294263737
doget:251257169 JDBC:250947291
doget:302758692 JDBC:302605649
doget:155333582 JDBC:154694727
doget:175345336 JDBC:174894252
doget:208386016 JDBC:208184772
doget:238322699 JDBC:237840095
doget:249533880 JDBC:219875345
doget:249557295 JDBC:249097305
doget:249835387 JDBC:249298579
doget:178957849 JDBC:152999611
doget:220873600 JDBC:220490213
doget:221441565 JDBC:221134169
doget:233948155 JDBC:220231352
doget:233720122 JDBC:233535093
doget:243890865 JDBC:221908938
doget:264940302 JDBC:264748875
doget:223995949 JDBC:223798235
doget:230434929 JDBC:219499125
doget:194188861 JDBC:193814839
doget:273108389 JDBC:272812480
doget:315506187 JDBC:315324621
doget:225963377 JDBC:225697509
doget:268145316 JDBC:267975927
doget:294699615 JDBC:294360853
doget:285402384 JDBC:285199711
doget:310284146 JDBC:310117535
doget:210319185 JDBC:209922810
doget:249471642 JDBC:249205541
doget:283147573 JDBC:282907340
doget:242960928 JDBC:242619170
doget:290458458 JDBC:273605116
doget:294486769 JDBC:294229308
doget:226474545 JDBC:226263301
doget:280990902 JDBC:280794365
doget:265127867 JDBC:264977825
doget:266167559 JDBC:265993580
doget:191256040 JDBC:190774895
doget:208081301 JDBC:207862128
doget:237099467 JDBC:213158692
doget:270010451 JDBC:269749070
doget:264389523 JDBC:264199517
doget:260940454 JDBC:260768117
doget:334554801 JDBC:334247105
doget:306381298 JDBC:306231429
doget:335877021 JDBC:335728635
doget:305226244 JDBC:305077853
doget:209750211 JDBC:209385249
doget:235787632 JDBC:235553092
doget:199502181 JDBC:199298609
doget:251584686 JDBC:251324559
doget:356033605 JDBC:350478141
doget:404352999 JDBC:404044381
doget:347844088 JDBC:347657332
doget:368994921 JDBC:368782127
doget:446890397 JDBC:446635817
doget:634512989 JDBC:634264562
doget:246715062 JDBC:238766241
doget:290043629 JDBC:282126141
doget:308917217 JDBC:301131041
doget:327669574 JDBC:319903709
doget:280512970 JDBC:280290718
doget:287148275 JDBC:286915922
doget:195635551 JDBC:195415254
doget:273493236 JDBC:273346876
doget:162560764 JDBC:155467451
doget:126384799 JDBC:126116562
doget:245882483 JDBC:245724833
doget:275586992 JDBC:275302260
doget:227127150 JDBC:226912952
doget:227999022 JDBC:227745744
doget:223830025 JDBC:223629914
doget:285065879 JDBC:284848214
doget:324254175 JDBC:323948734
doget:327747430 JDBC:315077524
doget:354835373 JDBC:354652561
doget:255755647 JDBC:255552420
doget:551137605 JDBC:551000705
doget:196164355 JDBC:195947216
doget:330369866 JDBC:330156974
doget:314208998 JDBC:314006193
doget:151641382 JDBC:151364605
doget:256829352 JDBC:256628870
doget:265543740 JDBC:265363313
doget:54993027 JDBC:54657649
doget:119247906 JDBC:118940887
doget:157535312 JDBC:156931632
doget:132851136 JDBC:132345805
doget:338122123 JDBC:337868889
doget:334062735 JDBC:333843692
doget:393425780 JDBC:393193391
doget:389888694 JDBC:389567743
doget:402118481 JDBC:401857706
doget:243342705 JDBC:243064259
doget:334721900 JDBC:334491860
doget:456215256 JDBC:456008307
doget:153927100 JDBC:153633246
doget:181992711 JDBC:181762525
doget:152104967 JDBC:151863157
