doget:33274149 JDBC:32960344
doget:40931605 JDBC:40696740
doget:38169666 JDBC:37912359
doget:38261674 JDBC:38008473
doget:80833928 JDBC:80608655
doget:96593093 JDBC:96427232
doget:99783429 JDBC:97421431
doget:99496491 JDBC:99340800
doget:91134290 JDBC:90929154
doget:96432610 JDBC:83421556
doget:112073952 JDBC:111896515
doget:66734442 JDBC:58338588
doget:112568558 JDBC:112261432
doget:185499539 JDBC:185258332
doget:223549699 JDBC:223068828
doget:194302446 JDBC:191835289
doget:170975352 JDBC:167040273
doget:208698663 JDBC:208505772
doget:109848467 JDBC:109397408
doget:240062327 JDBC:231979092
doget:135245448 JDBC:135033547
doget:104742267 JDBC:88203919
doget:106385988 JDBC:106051077
doget:98660289 JDBC:98418695
doget:110541619 JDBC:110254045
doget:125946600 JDBC:117968338
doget:139320572 JDBC:135245507
doget:155262210 JDBC:147289311
doget:140015049 JDBC:139831967
doget:23487704 JDBC:23282563
doget:77846298 JDBC:71172026
doget:82753014 JDBC:71244115
doget:119630846 JDBC:112550565
doget:171713987 JDBC:163705049
doget:100168753 JDBC:92008013
doget:187655368 JDBC:180281381
doget:204313143 JDBC:204137154
doget:111016215 JDBC:110843525
doget:30373195 JDBC:30032599
doget:38582661 JDBC:38196113
doget:35689861 JDBC:35436809
doget:67724241 JDBC:67493265
doget:77423082 JDBC:73887167
doget:36323143 JDBC:34166346
doget:57041333 JDBC:51331304
doget:74925345 JDBC:71003424
doget:39209640 JDBC:38871504
doget:42844714 JDBC:42523569
doget:72044160 JDBC:71838954
doget:72775258 JDBC:66253335
doget:31282268 JDBC:31039864
doget:41628964 JDBC:41250392
doget:52426356 JDBC:51590048
doget:41084011 JDBC:40821629
doget:28681097 JDBC:28252323
doget:27960465 JDBC:27710595
doget:99819461 JDBC:99361234
doget:118048290 JDBC:117571466
doget:118969196 JDBC:118639405
doget:150872792 JDBC:150438622
doget:38823132 JDBC:38521130
doget:34596893 JDBC:34184085
doget:49426747 JDBC:49130097
doget:81828973 JDBC:81447760
doget:56678009 JDBC:56467154
doget:67448488 JDBC:67164756
doget:57306320 JDBC:56852518
doget:70149009 JDBC:69699709
doget:99827767 JDBC:88868179
doget:119232789 JDBC:119028867
doget:66155068 JDBC:60861106
doget:64976441 JDBC:64082256
doget:29757022 JDBC:28911395
doget:69421171 JDBC:69196097
doget:59822678 JDBC:59640344
doget:99666465 JDBC:97685610
doget:131136871 JDBC:130786676
doget:90076033 JDBC:89871268
doget:97413091 JDBC:97224317
doget:47084257 JDBC:46618521
doget:60488015 JDBC:59976265
doget:100258137 JDBC:95846693
doget:108280753 JDBC:104230055
doget:196056082 JDBC:195821975
doget:192242404 JDBC:191998485
doget:177860685 JDBC:177595546
doget:190108770 JDBC:178963841
doget:192032104 JDBC:185064784
doget:226144616 JDBC:225908728
doget:80594840 JDBC:76144010
doget:93335835 JDBC:93157240
doget:148991613 JDBC:148692131
doget:161292604 JDBC:159229568
doget:190877292 JDBC:190654586
doget:169617830 JDBC:169418933
doget:192628923 JDBC:192465709
doget:221434962 JDBC:221188759
doget:118978920 JDBC:118805541
doget:137330796 JDBC:137121190
doget:178140875 JDBC:176238974
doget:31028006 JDBC:30667835
doget:84373273 JDBC:84137531
doget:159996695 JDBC:159794118
doget:94622139 JDBC:77775907
doget:164370883 JDBC:157033738
doget:241481426 JDBC:241147747
doget:136736440 JDBC:126124890
doget:102437102 JDBC:102086356
doget:199870213 JDBC:198705936
doget:126043815 JDBC:125829173
doget:134282201 JDBC:134115463
doget:71270884 JDBC:71019467
doget:126737657 JDBC:122685401
doget:117643476 JDBC:117462249
doget:86202454 JDBC:80584810
doget:63381904 JDBC:59533956
doget:53584087 JDBC:53347905
doget:118625420 JDBC:118404620
doget:164780375 JDBC:164500083
doget:136020899 JDBC:120629110
doget:155469796 JDBC:155242427
doget:200429460 JDBC:200226408
doget:109789549 JDBC:109151126
doget:179745352 JDBC:166349326
doget:218317915 JDBC:218137949
doget:227808402 JDBC:227572900
doget:205648178 JDBC:205364367
doget:96702917 JDBC:96314681
doget:177563415 JDBC:177307756
doget:243762206 JDBC:243385165
doget:192231370 JDBC:192057410
doget:200689371 JDBC:200426323
doget:144110983 JDBC:143829369
doget:194363128 JDBC:194149583
doget:131032026 JDBC:130845523
doget:306568416 JDBC:306328942
doget:152317385 JDBC:152125310
doget:88452225 JDBC:88230823
doget:110113213 JDBC:109832454
doget:120411043 JDBC:119549304
doget:100843984 JDBC:100668080
doget:92282743 JDBC:91990486
doget:270464682 JDBC:270164706
